order_event_type_cd,order_rcvg_firm_mpid,order_rcvg_firm_ordrcvd_date,order_rcvg_firm_order_id,firm_roe_id,source_system,Action_type_code,Issue_Sysmbol_id,Order_Cancel_Timestamp,Cancel_Type_Flag,Cancel_Quantity,Cancel_Leaves_Quantity,Cancelled_By_Flag
OR_CL,11,3/2/2018,1,FR1,GTS,REVERT,D1,3/9/2018 13:23,X,1,0,N
OR_CL,11,3/2/2018,1,FR1,GTS,REVERT,D1,3/9/2018 13:23,X,1,0,N
OR_CL,11,3/2/2018,2,FR2,GTS,REVERT,D1,3/10/2018 13:23,X,2,0,N
OR_CL,11,3/2/2018,3,FR3,GTS,REVERT,D1,3/11/2018 13:23,X,3,0,N
OR_CL,11,3/2/2018,4,FR4,GTS,REVERT,D1,3/12/2018 13:23,X,4,0,N
OR_CL,11,3/2/2018,5,FR5,GTS,REVERT,D1,3/13/2018 13:23,X,5,0,N
OR_CL,22,3/3/2018,6,FR6,GTS,REVERT,D1,3/14/2018 13:23,X,6,0,N
OR_CL,22,3/3/2018,7,FR7,GTS,REVERT,D1,3/15/2018 13:23,X,7,0,N
OR_CL,22,3/3/2018,8,FR8,GTS,REVERT,D1,3/16/2018 13:23,X,8,0,N
OR_CL,22,3/3/2018,9,FR9,GTS,REVERT,D1,3/17/2018 13:23,X,9,0,N
OR_CL,22,3/3/2018,10,FR10,GTS,REVERT,D1,3/18/2018 13:23,X,10,0,N
OR_CL,33,3/4/2018,11,FR11,GTS,REVERT,D1,3/19/2018 13:23,X,11,0,N
OR_CL,33,3/4/2018,12,FR12,GTS,REVERT,D1,3/20/2018 13:23,X,12,0,N
OR_CL,33,3/4/2018,13,FR13,GTS,REVERT,D1,3/21/2019 13:23,X,13,0,N
OR_CL,34,3/4/2018,14,FR14,GTS,REVERT,D1,3/22/2018 13:23,X,14,0,N
OR_CL,35,3/4/2018,15,FR15,GTS,REVERT,D1,3/23/2018 13:23,X,15,0,N
OR_CL,35,3/4/2018,15,FR15,GTS,REVERT,D,3/23/2018 13:23,X,15,0,N
OR_CL,35,3/4/2018,15,FR15,GTS,REVERT,D,3/23/2018 13:23,X,15,0,N
